,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
1990,"14,493",43,277,12,85,180,78,275,315,"1,258",285,372,784,205,834,"3,463","1,164",382,245,73,"1,206",517,84,58,241,449,164,131,263,48,778,62,162
1991,"15,128",56,286,18,67,231,99,472,467,"1,055",333,418,"1,019",152,781,"3,500","1,164",342,233,91,"1,286",419,77,51,212,549,189,119,340,33,843,65,161
1992,"16,594",35,313,18,87,226,120,437,479,"1,201",618,362,"1,589",128,793,"3,406","1,404",379,249,131,"1,274",537,77,54,272,595,243,137,413,45,752,47,173
1993,"16,040",32,293,21,78,217,72,502,469,"1,156",349,398,"1,306",132,783,"3,410","1,361",496,253,122,"1,337",591,79,80,241,554,210,156,375,47,694,59,167
1994,"15,839",23,353,28,75,216,87,645,577,"1,154",343,337,"1,209",165,702,"3,210","1,286",462,272,153,"1,177",491,102,155,244,600,250,241,357,42,703,47,133
1995,"15,612",35,399,32,98,178,64,708,759,"1,360",310,306,"1,262",163,785,"2,756","1,148",354,194,134,"1,183",593,86,74,224,626,314,238,323,74,618,49,165
1996,"14,505",29,383,24,79,168,43,653,668,"1,292",241,287,"1,032",126,744,"2,769","1,148",351,126,109,"1,130",477,102,64,209,669,331,183,280,62,551,44,131
1997,"13,552",23,340,35,77,152,53,606,662,"1,216",239,294,"1,079",141,625,"2,474",858,305,156,131,976,505,106,89,202,612,276,161,282,67,634,46,130
1998,"13,656",44,582,20,86,144,62,825,643,"1,220",242,307,"1,137",148,556,"2,385",659,314,130,137,962,497,82,80,315,571,301,146,324,63,497,45,132
1999,"12,249",23,643,34,77,148,60,605,567,"1,044",207,254,962,120,545,"2,150",657,310,124,114,789,451,92,86,283,538,283,147,290,75,444,34,93
2000,"10,737",17,444,29,66,122,57,429,604,924,160,232,804,87,473,"2,023",616,241,108,116,709,392,105,75,275,463,201,93,266,56,422,42,86
2001,"10,285",23,404,22,53,155,58,173,648,983,162,222,644,123,490,"1,941",647,213,109,98,640,420,108,104,229,503,257,101,186,52,381,36,100
2002,"10,088",27,428,32,54,139,42,475,652,938,171,209,624,54,481,"1,962",545,177,148,108,608,377,68,70,157,479,223,97,188,52,349,47,107
2003,"10,087",25,454,25,44,118,43,444,537,974,208,221,602,72,475,"1,927",562,171,110,147,619,350,83,136,147,428,233,116,228,39,407,42,100
2004,"9,329",21,478,29,36,117,53,224,476,948,158,177,594,88,409,"1,734",550,159,138,116,626,364,75,137,135,394,253,111,216,51,330,36,96
2005,"9,921",26,440,34,47,152,51,305,569,879,173,216,591,73,441,"2,016",681,138,133,150,547,315,79,77,138,436,260,100,348,49,344,37,76
2006,"10,452",26,465,26,33,107,44,539,648,817,170,206,789,47,478,"1,747",992,141,106,168,520,354,61,67,158,463,251,144,359,44,360,41,81
2007,"8,867",42,369,35,50,111,43,101,518,847,174,219,766,74,445,"1,238",563,128,108,279,564,273,55,121,143,398,323,146,193,37,380,49,75
2008,"14,006",59,"1,031",38,54,180,57,263,"2,601",930,420,295,"1,005",75,542,"1,579",658,215,155,241,616,354,74,144,199,824,436,153,266,53,340,49,100
2009,"19,803",67,"1,530",34,58,278,61,514,"3,671",979,"1,013",491,"1,855",146,679,"1,860",936,259,197,343,597,359,89,141,210,"1,435",571,173,315,81,693,37,131
2010,"25,757",75,"1,528",55,48,449,131,199,"6,407","1,077","1,109",445,"1,555",112,"1,072","2,111",723,493,539,951,733,376,74,145,366,"2,423",738,193,935,57,461,34,143
2011,"27,213",82,809,42,47,730,163,186,"4,500","1,101","1,063",615,"2,416",211,"1,529","2,623",855,456,587,"2,174",682,437,109,163,364,"1,990",542,230,"1,077",87,"1,000",53,290
2012,"25,967",45,581,37,80,"1,160",265,390,"2,772","1,086",822,684,"2,646",162,"1,560","2,907",827,671,285,"1,832",695,465,112,154,454,"1,395",525,195,"1,561",75,"1,019",41,464
2013,"23,063",45,767,47,71,800,225,492,"2,133","1,111",473,702,"2,283",167,"1,491","3,311",922,629,224,926,762,557,119,164,302,"1,220",658,246,880,91,765,49,431
2014,"20,010",46,717,92,78,469,140,460,"1,755","1,099",348,800,"1,729",210,"1,038","2,908",932,438,174,574,745,568,106,125,269,"1,156",669,235,913,88,883,47,199
2015,"20,762",45,854,180,67,313,227,539,"1,540","1,080",198,970,"2,424",233,"1,230","2,693",874,469,144,473,808,632,140,145,266,"1,098",585,372,682,80,"1,006",58,337
2016,"24,559",46,"1,152",238,93,257,613,552,"1,788","1,279",214,"1,232","2,594",219,"1,300","2,768","1,428",659,149,627,796,735,137,193,332,"1,303",580,431,807,96,"1,293",64,584
2017,"32,079",84,"2,169",751,78,275,867,591,"2,248","1,320",200,"2,285","2,637",314,"1,586","3,076","1,732",654,474,664,"1,018","1,083",218,455,507,"1,640",761,450,"1,204",126,"1,851",52,709
