num,fecha,clave_edo,estado,clave_mun,municipio,categoria,tipo
1,2016-10-01,30,Veracruz de Ignacio de la Llave,30021,Atoyac,Vandalismo al Tren,Cierre de Angulares
2,2016-10-01,26,Sonora,26042,Navojoa,Vandalismo al Tren,Cierre de Angulares
3,2016-10-01,21,Puebla,21104,Nopalucan,Vandalismo al Tren,Cierre de Angulares
4,2016-10-01,32,Zacatecas,32001,Apozol,Vandalismo en Vía,Manipulación de Señales
5,2016-10-01,01,Aguascalientes,01001,Aguascalientes,Vandalismo al Tren,Cierre de Angulares
6,2016-10-01,14,Jalisco,14066,Poncitlán,Vandalismo al Tren,Cierre de Angulares
7,2016-10-01,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
8,2016-10-01,26,Sonora,26042,Navojoa,Vandalismo al Tren,Cierre de Angulares
9,2016-10-01,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
10,2016-10-01,26,Sonora,26042,Navojoa,Vandalismo al Tren,Cierre de Angulares
11,2016-10-01,29,Tlaxcala,29005,Apizaco,Vandalismo al Tren,Cierre de Angulares
12,2016-10-01,11,Guanajuato,11020,León,Vandalismo al Tren,Cierre de Angulares
13,2016-10-01,01,Aguascalientes,01001,Aguascalientes,Vandalismo al Tren,Cierre de Angulares
14,2016-10-01,11,Guanajuato,11027,Salamanca,Vandalismo al Tren,Cierre de Angulares
15,2016-10-01,30,Veracruz de Ignacio de la Llave,30030,Camerino Z. Mendoza,Vandalismo al Tren,Cierre de Angulares
16,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
17,2016-10-01,11,Guanajuato,11001,Abasolo,Vandalismo al Tren,Cierre de Angulares
18,2016-10-01,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Apertura de Unidades
19,2016-10-01,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
20,2016-10-01,05,Coahuila de Zaragoza,05008,Escobedo,Vandalismo al Tren,Cierre de Angulares
21,2016-10-01,22,Querétaro,22007,Ezequiel Montes,Vandalismo al Tren,Cierre de Angulares
22,2016-10-01,14,Jalisco,14119,Zacoalco de Torres,Vandalismo al Tren,Cierre de Angulares
23,2016-10-01,15,México,15109,Tultitlán,Vandalismo al Tren,Apertura de Unidades
24,2016-10-01,30,Veracruz de Ignacio de la Llave,30087,Xalapa,Vandalismo en Vía,Componentes de Vía
25,2016-10-01,22,Querétaro,22016,San Juan del Río,Vandalismo al Tren,Cierre de Angulares
26,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
27,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo en Vía,Obstrucción de Vía
28,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
29,2016-10-01,14,Jalisco,14098,Tlaquepaque,Vandalismo al Tren,Cierre de Angulares
30,2016-10-01,14,Jalisco,14055,Magdalena,Vandalismo al Tren,Cierre de Angulares
31,2016-10-01,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
32,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
33,2016-10-01,11,Guanajuato,11020,León,Vandalismo al Tren,Cierre de Angulares
34,2016-10-01,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
35,2016-10-01,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
36,2016-10-01,22,Querétaro,22007,Ezequiel Montes,Vandalismo al Tren,Cierre de Angulares
37,2016-10-01,22,Querétaro,22016,San Juan del Río,Vandalismo al Tren,Cierre de Angulares
38,2016-10-01,15,México,15035,Huehuetoca,Vandalismo al Tren,Cierre de Angulares
39,2016-10-01,11,Guanajuato,11020,León,Vandalismo al Tren,Cierre de Angulares
40,2016-10-01,16,Michoacán de Ocampo,16034,Hidalgo,Vandalismo al Tren,Material Rodante
41,2016-10-01,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
42,2016-10-01,10,Durango,10012,Lerdo,Vandalismo al Tren,Cierre de Angulares
43,2016-10-01,32,Zacatecas,32056,Zacatecas,Vandalismo al Tren,Cierre de Angulares
44,2016-10-01,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
45,2016-10-01,01,Aguascalientes,01001,Aguascalientes,Vandalismo al Tren,Cierre de Angulares
46,2016-10-01,11,Guanajuato,11037,Silao,Vandalismo al Tren,Cierre de Angulares
47,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
48,2016-10-01,14,Jalisco,14083,Tala,Vandalismo al Tren,Cierre de Angulares
49,2016-10-01,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
50,2016-10-01,30,Veracruz de Ignacio de la Llave,30044,Córdoba,Vandalismo al Tren,Cierre de Angulares
51,2016-10-01,22,Querétaro,22007,Ezequiel Montes,Vandalismo en Vía,Manipulación de Señales
52,2016-10-01,22,Querétaro,22007,Ezequiel Montes,Vandalismo al Tren,Cierre de Angulares
53,2016-10-01,22,Querétaro,22017,Tequisquiapan,Robo a Tren,Producto/Carga
54,2016-10-01,32,Zacatecas,32014,General Francisco R. Murguía,Vandalismo al Tren,Cierre de Angulares
55,2016-10-01,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
56,2016-10-01,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
57,2016-10-01,26,Sonora,26016,Benjamín Hill,Vandalismo al Tren,Cierre de Angulares
58,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo en Vía,Obstrucción de Vía
59,2016-10-01,11,Guanajuato,11037,Silao,Vandalismo al Tren,Cierre de Angulares
60,2016-10-01,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
61,2016-10-01,11,Guanajuato,11001,Abasolo,Vandalismo al Tren,Cierre de Angulares
62,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
63,2016-10-01,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
64,2016-10-01,11,Guanajuato,11037,Silao,Vandalismo al Tren,Cierre de Angulares
65,2016-10-01,14,Jalisco,14083,Tala,Vandalismo al Tren,Cierre de Angulares
66,2016-10-01,20,Oaxaca,20002,Acatlán de Pérez Figueroa,Vandalismo al Tren,Cierre de Angulares
67,2016-10-01,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
68,2016-10-01,30,Veracruz de Ignacio de la Llave,30044,Córdoba,Vandalismo al Tren,Cierre de Angulares
69,2016-10-01,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
70,2016-10-01,21,Puebla,21114,Puebla,Vandalismo al Tren,Cierre de Angulares
71,2016-10-01,10,Durango,10007,Gómez Palacio,Vandalismo al Tren,Cierre de Angulares
72,2016-10-01,30,Veracruz de Ignacio de la Llave,30044,Córdoba,Vandalismo al Tren,Cierre de Angulares
73,2016-10-01,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
74,2016-10-01,11,Guanajuato,11027,Salamanca,Vandalismo al Tren,Cierre de Angulares
75,2016-10-01,19,Nuevo León,19039,Monterrey,Vandalismo al Tren,Material Rodante
76,2016-10-01,19,Nuevo León,19039,Monterrey,Vandalismo al Tren,Material Rodante
77,2016-10-02,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
78,2016-10-02,01,Aguascalientes,01011,San Francisco de los Romo,Vandalismo al Tren,Cierre de Angulares
79,2016-10-02,13,Hidalgo,13063,Tepeji del Río de Ocampo,Vandalismo al Tren,Material Rodante
80,2016-10-02,11,Guanajuato,11009,Comonfort,Robo a Tren,Producto/Carga
81,2016-10-02,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
82,2016-10-02,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
83,2016-10-02,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
84,2016-10-02,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
85,2016-10-02,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
86,2016-10-02,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
87,2016-10-02,22,Querétaro,22012,Pedro Escobedo,Vandalismo en Vía,Componentes de Vía
88,2016-10-02,22,Querétaro,22014,Querétaro,Vandalismo en Vía,Componentes de Vía
89,2016-10-02,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
90,2016-10-02,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
91,2016-10-02,21,Puebla,21104,Nopalucan,Vandalismo al Tren,Cierre de Angulares
92,2016-10-02,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
93,2016-10-02,13,Hidalgo,13029,Huichapan,Vandalismo en Vía,Obstrucción de Vía
94,2016-10-02,22,Querétaro,22005,Colón,Vandalismo al Tren,Apertura de Unidades
95,2016-10-02,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
96,2016-10-02,14,Jalisco,14005,Amatitán,Vandalismo al Tren,Cierre de Angulares
